ADF, 0.1250180834519442, 611, 9923120
GP, 0.12182277066388808, 590, 9883224
ADF, 0.14805966261936498, 919, 9562604
ADF, 0.1324819315901868, 1112, 9952690
ADF, 0.13697110073012125, 1131, 9774508
ADF, 0.12866970755513193, 1148, 9955568
ADF, 0.15817947490917342, 1137, 9898166
ADF, 0.13731860816116107, 1123, 9841330
ADF, 0.1274806973074098, 1179, 9762640
ADF, 0.11835424521049147, 1160, 9884506
ADF, 0.13100540372215444, 1202, 9770916
ADF, 0.1291231262011483, 1242, 9996626
ADF, 0.1325130393526329, 1177, 9986648
ADF, 0.1346478566646512, 1267, 9972380
ADF, 0.1385991192724781, 1189, 9857132
ADF, 0.1321214635788271, 1247, 9837384
ADF, 0.13113356931772446, 1302, 9847244
ADF, 0.1322399216441344, 1228, 9961554
ADF, 0.13464680649241473, 1266, 9777070
ADF, 0.12998799386808546, 1276, 9996420
ADF, 0.13918249768503618, 1315, 9840478
ADF, 0.1454506568214427, 1308, 9901876
ADF, 0.1320179834445953, 1357, 9790850
GP, 0.13584476081015043, 1222, 9926112
ADF, 0.12988265752573736, 1332, 9822108
GP, 0.13377818602258873, 1230, 9805970
GP, 0.13381177339396344, 1208, 9871842
GP, 0.1302994564058135, 1266, 9829074
GP, 0.13240704757104657, 1253, 9917706
GP, 0.14182379880797133, 1253, 9861012
GP, 0.17002288235089008, 1219, 10001380
GP, 0.13437108010510093, 1255, 9881472
GP, 0.13245876187477695, 1207, 9918390
GP, 0.1486572573918045, 1265, 9944496
GP, 0.14124530016937514, 1304, 9860220
GP, 0.12747080093738705, 1258, 9999630
GP, 0.13069779858690445, 1231, 9915146
GP, 0.13605948741030302, 1341, 9955866
GP, 0.144585161007794, 1324, 9963474
GP, 0.1327722788860952, 1303, 9863650
GP, 0.14150059395052877, 1270, 9821286
GP, 0.12928602772844425, 1253, 9951104
GP, 0.14046065279426148, 1260, 9821690
GP, 0.13258364985257606, 1284, 9940470
GP, 0.13727794710844324, 1300, 9859772
GP, 0.1440634941541182, 1304, 9825528
